,RegionID,RegionName,City,State,Metro,CountyName,District,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,Average,,,,
6,61807,10467,New York,NY,New York,Bronx,#N/A,7,152900,152700,152600,152400,152300,152000,151800,151600,151600,151700,151800,151800,151900,152000,152200,152400,152500,152600,152700,152900,153200,153800,154300,154700,155200,155700,156400,157000,157600,158100,158600,159200,160000,160900,161800,162700,163700,164900,166100,167300,168400,169500,170700,171900,173300,174900,176400,178000,179600,181400,183100,184800,186400,187900,189400,190900,192600,194300,196000,197800,199600,201600,203700,205800,207700,209500,211400,213300,215400,217500,219800,222100,224500,227200,229900,232400,234700,236800,238800,241200,243400,245200,246300,247000,247200,247100,247100,248100,250200,252800,255300,257400,259500,262300,266100,270900,276000,280900,285300,289000,292500,296100,300200,304500,309300,314200,318900,323200,327400,331700,336400,341400,346700,352200,357800,363400,368500,372200,374700,376900,378800,380800,383200,386000,389100,392300,395200,398300,401300,403400,404900,407300,410100,412600,414000,413900,412800,411000,408900,407900,407700,406200,403400,400800,398300,395900,392800,388300,383000,377500,371800,367100,363000,357400,350500,344200,338500,333000,328100,324300,322400,321900,322200,324200,327100,328100,327000,326000,326300,327300,330100,334100,335000,333200,331700,321900,310500,310900,320000,324600,324500,320600,315900,312700,311600,311100,310800,311800,310600,306400,301300,298300,295200,294700,297300,299100,298100,296800,296200,298200,300900,302300,303400,306600,311900,318100,319300,319500,323300,327100,328200,329300,329600,328700,328200,327400,326400,325100,324200,323400,322300,320500,320500,324200,331700,339300,344300,346900,349400,352500,356500,359400,361200,362900,364000,367100,370800,370700,367600,365800,367200,372200,377300,378000,378300,381100,385400,386000,385300,387300,391300,394200,394500,392500,391200,394400,400000,407300,411600,413200,414300,413900,411400,413200,417900,414140,,,,
10,62037,11226,New York,NY,New York,Kings,Brooklyn,11,162000,162300,162600,163000,163400,164000,164700,165700,166800,167900,168800,169600,170400,171100,171800,172600,173600,174700,176000,177400,179100,180700,182000,183100,184100,185000,185900,186800,187900,189100,190400,192000,193800,195500,197000,198300,199500,200800,202000,203400,205100,207100,209300,211800,214500,217100,219500,221600,223500,225300,227000,228800,230700,233000,235400,238100,241000,243700,246100,248200,250200,251900,253600,255400,257400,259800,262400,265400,268400,271100,273300,275200,276600,277800,278900,280000,281500,283500,286000,288200,290100,293100,298100,304700,312700,321900,331100,338400,342600,344200,344400,344400,344800,345400,345400,344400,342700,341300,341000,342400,345400,349800,355000,360900,367500,374800,383400,393900,406100,419100,433000,448300,464000,478600,490800,500100,506500,510900,513600,516600,520400,523600,525200,526300,527700,531000,536500,543700,551300,559400,566800,574600,583300,591000,595400,598300,599500,600000,600500,600700,600200,602000,604400,607400,610000,609400,602900,594800,586400,579600,574900,569900,562400,555500,548400,541600,536100,529600,520800,516000,515200,517100,521300,525700,528700,531900,535900,525500,509900,502700,504900,499100,491300,479400,467800,459300,457200,452100,451600,464300,478200,486100,495700,509100,525600,542000,541900,536000,539300,545300,547200,545700,538600,530000,528500,530500,527700,523400,530200,540900,542600,539600,533600,527300,526000,530300,535200,542700,547300,551600,558900,566200,572600,580700,590500,602600,618300,632300,638900,643200,654300,668800,680600,689600,690900,690900,689200,686100,688300,695500,699300,702500,709600,711600,711900,710800,714000,724500,744400,753100,759600,773100,787200,795500,802700,811600,815600,828100,853300,875200,876100,877600,872600,866300,862600,860200,851000,853900,870000,885100,887800,890500,901700,930700,963200,914780,,,,
12,62087,11375,New York,NY,New York,Queens,#N/A,13,252400,251800,251400,251200,251100,251000,251000,251200,251700,252100,252200,252500,253100,254200,255800,257600,259500,261300,263000,264800,266700,268300,269600,270800,272400,274700,277600,280900,284400,287900,291200,294600,298000,300800,302800,304600,306500,309000,311900,314900,318000,320800,323400,326100,328800,331100,332600,334100,335900,338500,341800,345700,349600,353300,356900,360600,364300,367200,369100,370700,372900,375900,379900,384400,389100,393600,397800,402200,406400,409600,411500,413000,415200,418700,423200,428400,433700,438900,444400,446800,448400,456200,472400,490300,504500,510600,509600,504600,499100,496200,496200,499100,503700,508400,512600,517400,523600,531400,540200,548700,556700,564800,574100,585700,598600,610300,619900,628600,637200,645900,655100,664800,675000,685400,694900,703400,710000,713500,714100,714100,715400,719400,725400,731300,735500,735900,731600,724700,717900,712800,710200,709300,708800,707900,705900,702400,699200,697200,696400,697200,698700,699300,698300,694700,688300,680800,673700,667900,664500,662300,660500,659600,658900,657300,655500,653500,651300,648700,648700,653000,660200,665400,668900,672300,675500,679200,680700,684400,688000,691300,695800,703500,700800,690600,685300,683300,680800,679400,681600,681800,683000,684900,682500,673600,671500,681100,688900,689500,687900,687000,683500,681400,682600,687700,693800,698300,701100,703700,704800,705100,708600,713200,717000,719700,721900,722000,723000,727000,732700,736800,740300,745200,749800,753700,760000,767600,775500,784900,794500,801900,808200,812500,817200,824200,831500,837500,843500,849500,855600,861500,867700,873900,878700,880900,882200,884300,884000,884900,893000,903700,907800,907300,912100,921600,931500,938500,945200,953500,964900,975500,983600,990400,998200,1007300,1015200,1022600,1033700,1048600,1066400,1081200,1088800,1092700,1089500,1084000,1084600,1087920,,,,
13,62045,11235,New York,NY,New York,Kings,Brooklyn,14,190500,191000,191500,192000,192500,193000,193600,194300,195300,196300,197200,197800,198400,199000,199700,200400,201300,202200,203300,204500,206100,208000,209600,211000,212500,214000,215600,217200,218900,220700,222600,224700,227200,229800,232200,234300,236500,238800,241000,243300,245700,248100,250500,253200,256200,259400,262300,264800,267400,270100,272800,275500,278300,281100,284200,287500,291300,295200,298900,302500,306100,309500,313000,316500,319900,323300,326800,330600,334700,338700,342500,345800,349000,351900,354700,357400,360100,362900,366000,368500,370700,374600,380700,387800,395000,401500,407100,411900,416000,419900,424200,429100,434600,440300,445500,450500,455100,459700,464700,470500,477400,485500,494500,503900,513100,521700,529500,537700,546600,555500,564900,575000,585400,595200,603100,608800,611700,612000,610200,608500,608700,610900,613600,615700,616500,615600,612800,609000,604700,600800,597200,594800,593700,593000,591000,588400,586100,583500,579700,575400,572200,570900,570300,569700,568000,564300,557600,550900,546200,542600,538000,533000,528200,524300,520500,517000,514100,510100,504200,499900,499100,500100,501000,502600,504900,507200,509500,508000,502700,501000,507600,512800,511100,506600,506700,509400,514900,519600,523800,529000,535900,541000,544600,545500,545000,544900,545100,544700,543300,542400,544400,548900,549600,546600,545200,547900,548400,548100,552600,558600,559400,556500,550700,544000,540800,541600,543700,544700,544300,545200,547300,550600,554600,558200,560000,562300,566300,572000,577500,583400,592300,601400,606500,607500,606300,608100,613200,618500,625800,636200,641500,644100,650400,656100,656900,656100,658300,663600,669800,674900,678800,677100,673400,675000,682700,688100,691400,699000,708900,715900,724100,734800,743100,751000,758800,767300,777300,788800,793900,796000,799700,806600,810600,813400,816200,809300,,,,
47,62040,11230,New York,NY,New York,Kings,Brooklyn,48,230100,230800,231500,232100,232800,233600,234700,235900,237500,239100,240300,241000,241400,241700,241900,242100,242500,243200,244300,245600,247600,249800,251600,253100,254500,255900,257300,258700,260500,262600,265000,268000,271500,275300,278700,281900,285200,288300,291500,295000,298900,303300,308200,313700,319800,326100,331700,336800,341700,346100,350100,354200,358400,363000,367900,373300,379200,385100,390300,395000,399100,402700,406000,409200,412700,416700,421100,426100,431500,436700,441000,444400,446900,448500,449500,450400,451800,454000,457200,459700,462100,466900,475200,486200,500900,518900,538900,557200,570400,577800,581600,584300,587500,591600,596400,601200,605300,608900,613000,619200,628500,640800,654500,668000,680000,690100,698800,707800,717200,726500,736000,747000,759400,772700,785200,795400,802000,804900,804100,802200,801400,802400,804200,805900,806000,804300,800900,797300,794800,794700,795700,798000,801100,803500,803600,802400,799800,796600,793000,790400,789700,792100,795700,799500,800600,796700,786600,776000,768300,763300,758100,753000,747600,742800,737700,733100,728100,721900,714200,709800,709200,711300,714200,717400,723000,725000,724800,719900,712600,709800,719100,724000,718600,706600,698600,694400,690600,683200,680400,681700,685100,687200,688000,688800,692100,697000,700900,704100,704600,707400,710000,710300,708400,707300,707600,709700,712400,713800,716000,718200,725500,735100,741800,746500,754900,762500,765500,769900,778400,791000,802300,809000,813000,819000,822500,823200,824000,827900,833000,837000,840300,841800,839800,837700,835500,833600,834600,840000,850300,864600,876400,886300,898400,915600,933400,949700,961300,970900,976600,979300,980100,984100,989900,994800,1000200,1005700,1012600,1022100,1027000,1027300,1031500,1043400,1050600,1057300,1066100,1079200,1082700,1082800,1084900,1091200,1102400,1120200,1141600,1170000,1195400,1145920,,,,
49,62020,11209,New York,NY,New York,Kings,Brooklyn,50,255700,256600,257300,258100,258900,259800,260900,262000,263600,265400,266900,268000,269000,269900,270800,271600,272500,273500,274700,275900,277700,279600,281300,282500,283500,284500,285500,286600,287700,289100,290800,292900,295600,298800,301800,304600,307500,310400,313400,316700,320100,323800,327700,331900,336800,341900,346700,350900,354900,358500,361800,365000,368100,371100,374300,377700,381500,385400,389100,392300,395100,397700,400100,402500,405000,407800,411000,414800,419100,423700,428200,432300,436100,439400,442400,445400,448500,452000,455900,460100,464900,470900,478900,488700,499900,511900,523900,534100,541800,548000,553700,559100,563600,567000,569800,572900,577200,583000,590700,600800,613100,626500,639400,651000,661000,669900,678000,686300,695100,703800,712700,722800,734000,745700,757300,767900,776600,782800,785700,787500,789800,792200,793900,795700,796300,794500,790100,784300,778600,774700,771200,769100,768000,765800,761600,757200,752100,745500,738200,732200,729600,731600,736100,743100,750500,754200,751700,746900,741900,737200,732500,727700,723000,718600,713400,709300,706500,702300,695700,691100,690400,694400,701900,711000,720700,724200,726600,715700,693200,679100,682700,682000,675800,670100,668000,667000,664500,662700,666900,677000,687300,693100,696400,699600,699800,697900,696000,693600,690900,690400,688500,689600,696100,702100,703900,708600,713900,716300,718300,722900,728200,733100,734800,736200,740900,748800,756200,763600,775000,787900,796100,799700,806000,813900,822200,827400,829200,830700,833900,838300,843000,848500,851600,854800,856900,858200,853900,854900,867000,881400,889300,896100,904600,915900,928200,937300,943400,948000,954600,957900,954100,945900,939600,934700,935400,935200,933900,937100,944200,945700,950700,966000,981500,990900,996200,1005000,1013400,1019500,1024400,1024900,1018900,1023500,1029200,1023000,1015800,1022080,,,,
35,61802,10462,New York,NY,New York,Bronx,#N/A,36,154300,154300,154400,154400,154500,154400,154500,154500,154800,155300,155800,156200,156800,157400,158100,158700,159300,159900,160400,160900,161600,162500,163200,163900,164700,165500,166300,167100,167800,168300,168900,169600,170400,171300,172300,173200,174200,175400,176600,177800,178900,179900,180900,182000,183200,184600,186000,187400,188900,190500,192200,193800,195300,196700,198200,199700,201300,203100,205100,207100,209200,211500,213900,216300,218400,220400,222400,224500,226600,228900,231300,233700,236300,239100,241900,244500,246900,249000,251000,253200,255400,257100,258300,259200,259500,259400,259400,260400,262300,264900,267600,270200,273000,276100,279400,282700,285900,288700,291300,294200,297600,302200,307600,313200,318900,324700,330400,336300,342400,348300,354300,360300,366100,371700,377200,382700,388100,393000,397200,401500,406500,412100,417800,423000,427100,430400,433200,436000,438900,440900,441700,442600,443700,444000,443200,441500,439000,435900,432600,429700,427100,423300,417900,412900,408700,404800,400600,396500,392200,388100,384200,381500,379200,375700,370400,365400,361100,356900,352700,349400,346600,344300,342600,342500,342600,340900,339400,338400,337200,337400,340100,342800,344900,345200,344600,336300,327200,327900,336400,340700,341700,340000,336800,334300,332900,332100,332400,333400,331900,329000,326400,324500,322100,320900,321500,321400,321000,320700,319300,320300,323800,325500,325700,329000,334100,339300,342000,343400,345900,348300,349200,350700,352600,351900,349800,348200,347300,347100,347400,348400,349200,348900,348500,350600,354700,358700,361200,363600,365800,367500,368300,368900,368100,368800,372300,376700,379200,379700,379500,379600,380300,381900,385400,388200,391500,395600,400400,404700,409400,414300,418600,421500,423800,426300,429500,432800,436100,439900,443500,444100,443900,446000,446400,447200,450200,446740,,,,
36,61796,10456,New York,NY,New York,Bronx,#N/A,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274300,274000,276700,280100,278600,274000,269700,267800,267700,271400,275500,276300,276000,278100,281900,286300,289900,291800,291900,291900,292600,293300,295300,299500,304900,305200,304400,303200,302600,300900,302900,306400,312300,319800,327600,333600,339900,346300,350600,354000,356700,357600,357900,357100,356500,357200,362000,368500,374100,379800,388100,394400,380980,,,,
46,61803,10463,New York,NY,New York,Bronx,#N/A,47,180100,181000,181900,182600,183200,183700,184400,185100,186100,187300,188200,188900,189600,190200,190700,190900,191100,191100,191200,191300,191800,192300,192600,192600,192600,192400,192100,191700,191200,190700,190500,190500,191000,191800,192600,193300,194200,195300,196500,197600,198700,199900,201400,203200,205600,208200,210800,213400,216000,218700,221300,223800,226100,228400,230800,233400,236400,239600,242700,245600,248600,251400,254100,256300,258200,259900,261700,263600,265900,268400,270700,272900,275000,277100,278900,280200,281100,281900,282900,284000,285200,286700,288400,290000,291700,294500,299500,307100,316100,324400,330500,334800,338800,344100,352000,362300,373800,384800,394200,401800,409000,416800,425000,432500,438800,443300,445900,447500,449100,451300,454500,458900,465000,473100,482900,494000,505500,515800,524300,532500,540700,548200,554300,558700,561600,563600,565800,570100,576500,582100,584700,586400,588400,589700,589700,589500,589500,590700,592200,594100,596000,596400,594100,593100,593700,593500,591100,587900,584300,581400,578100,575100,573300,571300,567300,565100,565200,564800,563800,564800,567800,572900,578000,582000,581900,581100,583200,577800,559600,543700,540600,538700,527500,513600,510900,505800,497600,495800,503400,508700,517300,523200,519200,513700,517900,518600,505800,492100,486500,483300,477100,468100,460200,459000,465700,468600,467700,467200,470100,475200,476900,478300,492700,515600,530500,533800,529300,526800,530300,535300,536500,539900,541400,530600,505300,488100,485300,491800,498400,507300,511100,514500,519400,523200,524300,526700,526900,527600,531100,535800,538800,542400,544500,544500,543600,542400,545600,554100,562800,569600,575100,577300,579600,585400,594300,604100,614000,625600,637000,648500,657900,661400,664300,670600,677000,680800,684500,692000,700900,710200,726900,744500,757000,769400,778700,755300,,,,f
53,62023,11212,New York,NY,New York,Kings,Brooklyn,54,125000,125000,125000,125000,125100,125100,125000,124800,124600,124500,124500,124500,124500,124700,125100,125500,126000,126400,126800,127000,127100,127500,127900,128200,128700,129400,130100,131000,131800,132600,133300,133700,134100,134600,135300,135900,136700,137600,138600,139700,140900,141800,142700,143300,143700,144300,144900,145500,146100,146900,147800,148700,149600,150300,150800,151100,151100,151300,151800,152300,152900,154000,155300,156900,158500,160200,161800,163200,164400,165900,167700,169600,171800,174500,177400,180600,183800,186800,189200,193200,198300,202200,204700,207700,209800,210000,207900,204400,201000,198800,198300,198800,200100,201900,204100,206200,208400,211000,214200,218400,223500,229300,235700,241900,248100,254500,260800,266600,271800,276200,280200,284600,289400,294000,298400,302000,305100,307700,309900,312000,315400,320300,326900,334600,342200,348400,353100,356200,358100,360000,361700,363000,364000,363900,363000,362200,361500,360300,359200,358100,357200,356900,356700,356700,357100,356600,355500,354000,352100,350100,348700,347100,345100,342700,339500,335900,332600,329000,323200,314800,305900,298900,294500,292100,291600,292200,292400,291700,290700,290800,292800,295200,297100,297800,296000,293000,291900,293700,295300,295200,294100,292300,290500,288800,286400,282300,276900,270900,263400,254500,249600,250000,252600,256900,262600,268200,272600,276600,280800,285700,288600,290100,291200,290400,287800,285300,282900,280400,279800,280900,282200,282500,283300,285200,286800,287000,286500,286400,288000,290800,293200,295200,297300,300900,303500,303000,300200,298700,298300,298300,297600,297300,297800,298800,300500,302200,303300,304200,306900,310900,315800,320000,323400,325600,328500,331500,335700,340800,346700,353600,360700,366800,371400,374200,375500,380000,387000,394600,401500,407900,414900,422300,426300,427100,428400,423800,,,,
